# Current [A], Field [T]
2.842288967971530383e+03,1.049512140039842834e+00
2.852297508896797353e+03,1.053198419286367926e+00
2.862306049822064324e+03,1.056884513574609663e+00
2.872314590747331295e+03,1.060570336074177611e+00
2.882323131672598265e+03,1.064255880771996843e+00
2.892331672597865236e+03,1.067941191935830147e+00
2.902340213523131752e+03,1.071626239475279130e+00
2.912348754448398722e+03,1.075311122088512539e+00
2.922357295373665693e+03,1.078995780162955276e+00
2.932365836298932663e+03,1.082680038380905208e+00
2.942374377224199634e+03,1.086364231228463817e+00
2.952382918149466605e+03,1.090048054869351635e+00
2.962391459074733575e+03,1.093731617298662417e+00
2.972400000000000091e+03,1.097414868388414844e+00
2.982408540925267062e+03,1.101097881306721815e+00
2.992417081850534032e+03,1.104780664965790749e+00
3.002425622775801003e+03,1.108463170881337723e+00
3.012434163701067973e+03,1.112145369565216368e+00
3.022442704626334944e+03,1.115827204988810717e+00
3.032451245551601914e+03,1.119508667174749617e+00
3.042459786476868430e+03,1.123189959945103178e+00
3.052468327402135401e+03,1.126870891316885226e+00
3.062476868327402372e+03,1.130551592845314701e+00
3.072485409252669342e+03,1.134231913757615340e+00
3.082493950177936313e+03,1.137911914682296466e+00
3.092502491103203283e+03,1.141591555367051924e+00
3.102511032028470254e+03,1.145270814061597475e+00
3.112519572953736770e+03,1.148949837456456402e+00
3.122528113879003740e+03,1.152628430714086161e+00
3.132536654804270711e+03,1.156306720664494581e+00
3.142545195729537681e+03,1.159984641685573914e+00
3.152553736654804652e+03,1.163662158281558723e+00
3.162562277580071623e+03,1.167339367233174219e+00
3.172570818505338138e+03,1.171016068083752026e+00
3.182579359430605109e+03,1.174692524101421665e+00
3.192587900355872080e+03,1.178368507886524030e+00
3.202596441281139050e+03,1.182044013295062923e+00
3.212604982206406021e+03,1.185719204893269207e+00
3.222613523131672991e+03,1.189393873396616064e+00
3.232622064056939962e+03,1.193068241004444419e+00
3.242630604982206478e+03,1.196742186266868124e+00
3.252639145907473448e+03,1.200415712005794777e+00
3.262647686832740419e+03,1.204088781610604730e+00
3.272656227758007390e+03,1.207761238052031283e+00
3.282664768683274360e+03,1.211433356964985553e+00
3.292673309608541331e+03,1.215104851470891090e+00
3.302681850533808301e+03,1.218775958563454331e+00
3.312690391459074817e+03,1.222446589266297456e+00
3.322698932384341788e+03,1.226116688489412354e+00
3.332707473309608758e+03,1.229786267228877961e+00
3.342716014234875729e+03,1.233455254391953915e+00
3.352724555160142700e+03,1.237123583421505302e+00
3.362733096085409670e+03,1.240791425003679116e+00
3.372741637010676641e+03,1.244458590075971038e+00
3.382750177935943157e+03,1.248125332886585115e+00
3.392758718861210127e+03,1.251791380524970965e+00
3.402767259786477098e+03,1.255456893061592138e+00
3.412775800711744068e+03,1.259121617989280129e+00
3.422784341637011039e+03,1.262785737115421414e+00
3.432792882562278010e+03,1.266449181810935798e+00
3.442801423487544980e+03,1.270111899620703699e+00
3.452809964412811496e+03,1.273773957009535884e+00
3.462818505338078467e+03,1.277435297898858124e+00
3.472827046263345437e+03,1.281095787680858855e+00
3.482835587188612408e+03,1.284755667582427208e+00
3.492844128113879378e+03,1.288414596240749388e+00
3.502852669039146349e+03,1.292072885539330196e+00
3.512861209964413320e+03,1.295730222324698699e+00
3.522869750889679835e+03,1.299386880447748638e+00
3.532878291814946806e+03,1.303042553997626696e+00
3.542886832740213777e+03,1.306697338840796752e+00
3.552895373665480747e+03,1.310351240560985842e+00
3.562903914590747718e+03,1.314004111225616223e+00
3.572912455516014688e+03,1.317656204778324902e+00
3.582920996441281659e+03,1.321307144023093905e+00
3.592929537366548175e+03,1.324957095205873348e+00
3.602938078291815145e+03,1.328606007552866286e+00
3.612946619217082116e+03,1.332253653508869817e+00
3.622955160142349087e+03,1.335900151962558402e+00
3.632963701067616057e+03,1.339545511760683816e+00
3.642972241992883028e+03,1.343189698040163638e+00
3.652980782918149998e+03,1.346832563176613151e+00
3.662989323843416514e+03,1.350474159088044468e+00
3.672997864768683485e+03,1.354114499301217744e+00
3.683006405693950455e+03,1.357753213655571889e+00
3.693014946619217426e+03,1.361390720021407041e+00
3.703023487544484396e+03,1.365026643631510828e+00
3.713032028469751367e+03,1.368661012255351528e+00
3.723040569395018338e+03,1.372293868797499483e+00
3.733049110320284854e+03,1.375925068245630767e+00
3.743057651245551824e+03,1.379554538603340319e+00
3.753066192170818795e+03,1.383182249882108916e+00
3.763074733096085765e+03,1.386808178596666608e+00
3.773083274021352736e+03,1.390432092365499139e+00
3.783091814946619706e+03,1.394053937968614987e+00
3.793100355871886677e+03,1.397673830498686431e+00
3.803108896797153193e+03,1.401291453377653040e+00
3.813117437722420163e+03,1.404906699784107316e+00
3.823125978647687134e+03,1.408519676563013245e+00
3.833134519572954105e+03,1.412130028489023470e+00
3.843143060498221075e+03,1.415737930342878759e+00
3.853151601423488046e+03,1.419342985650075439e+00
3.863160142348755016e+03,1.422945219069316813e+00
3.873168683274021532e+03,1.426544432695288522e+00
3.883177224199288503e+03,1.430140499395078368e+00
3.893185765124555473e+03,1.433733201508344823e+00
3.903194306049822444e+03,1.437322406523071860e+00
3.913202846975089415e+03,1.440908057028615907e+00
3.923211387900356385e+03,1.444489917590835004e+00
3.933219928825623356e+03,1.448067579124004522e+00
3.943228469750889872e+03,1.451641036438229726e+00
3.953237010676156842e+03,1.455209928225901006e+00
3.963245551601423813e+03,1.458774115832627061e+00
3.973254092526690783e+03,1.462333323817636144e+00
3.983262633451957754e+03,1.465887238244707014e+00
3.993271174377224725e+03,1.469435723233593505e+00
4.003279715302491240e+03,1.472978385055918160e+00
4.013288256227758211e+03,1.476514953092849858e+00
4.023296797153025182e+03,1.480045014016774241e+00
4.033305338078292152e+03,1.483568471312136872e+00
4.043313879003559123e+03,1.487084930162344554e+00
4.053322419928826093e+03,1.490594123808482108e+00
4.063330960854093064e+03,1.494095663002770413e+00
4.073339501779359580e+03,1.497589372957724763e+00
4.083348042704626550e+03,1.501074788898160595e+00
4.093356583629893521e+03,1.504551777052446582e+00
4.103365124555160946e+03,1.508019927338244637e+00
4.113373665480427007e+03,1.511479128401409744e+00
4.123382206405694888e+03,1.514928991199731900e+00
4.133390747330960949e+03,1.518369343598551024e+00
4.143399288256227919e+03,1.521799869243062320e+00
4.153407829181494890e+03,1.525220528924467356e+00
4.163416370106761860e+03,1.528630933013641613e+00
4.173424911032028831e+03,1.532030899997471440e+00
4.183433451957295802e+03,1.535420199233714200e+00
4.193441992882562772e+03,1.538798736296296266e+00
4.203450533807829743e+03,1.542166308951580911e+00
4.213459074733096713e+03,1.545522697040359938e+00
4.223467615658362774e+03,1.548867753165799277e+00
4.233476156583630654e+03,1.552201351853356837e+00
4.243484697508896716e+03,1.555523408598760371e+00
4.253493238434164596e+03,1.558833755265208509e+00
4.263501779359430657e+03,1.562132132751219649e+00
4.273510320284697627e+03,1.565418623262639697e+00
4.283518861209964598e+03,1.568693062072929356e+00
4.293527402135231569e+03,1.571955386976527480e+00
4.303535943060498539e+03,1.575205522807938907e+00
4.313544483985765510e+03,1.578443263488350068e+00
4.323553024911032480e+03,1.581668734212763328e+00
4.333561565836299451e+03,1.584881871267461717e+00
4.343570106761566421e+03,1.588082649466735052e+00
4.353578647686833392e+03,1.591270990643873340e+00
4.363587188612100363e+03,1.594446822168112066e+00
4.373595729537367333e+03,1.597610192031861942e+00
4.383604270462634304e+03,1.600761076815601092e+00
4.393612811387900365e+03,1.603899488075847479e+00
4.403621352313167336e+03,1.607025367713017516e+00
4.413629893238434306e+03,1.610138824434822480e+00
4.423638434163701277e+03,1.613239853294289761e+00
4.433646975088968247e+03,1.616328496031830486e+00
4.443655516014235218e+03,1.619404730056685171e+00
4.453664056939502188e+03,1.622468432313319830e+00
4.463672597864769159e+03,1.625519699488823244e+00
4.473681138790036130e+03,1.628558561305877950e+00
4.483689679715303100e+03,1.631585160785671507e+00
4.493698220640570071e+03,1.634599459622841255e+00
4.503706761565837041e+03,1.637601509280575574e+00
4.513715302491104012e+03,1.640591395470312852e+00
4.523723843416370073e+03,1.643568900007298828e+00
4.533732384341637044e+03,1.646534088251706995e+00
4.543740925266904014e+03,1.649487103376517272e+00
4.553749466192170985e+03,1.652428040706335421e+00
4.563758007117437955e+03,1.655357111047448759e+00
4.573766548042704926e+03,1.658274249606532136e+00
4.583775088967971897e+03,1.661179536377091370e+00
4.593783629893238867e+03,1.664072812485599684e+00
4.603792170818505838e+03,1.666954188310278306e+00
4.613800711743772808e+03,1.669823801281175912e+00
4.623809252669039779e+03,1.672681932948097749e+00
4.633817793594306750e+03,1.675528925342153475e+00
4.643826334519573720e+03,1.678364817696378131e+00
4.653834875444840691e+03,1.681189347707573445e+00
4.663843416370106752e+03,1.684002483378052695e+00
4.673851957295373722e+03,1.686804382165784988e+00
4.683860498220640693e+03,1.689595379214628545e+00
4.693869039145907664e+03,1.692375594500908909e+00
4.703877580071174634e+03,1.695145442961837334e+00
4.713886120996441605e+03,1.697905018688220524e+00
4.723894661921708575e+03,1.700654188622709118e+00
4.733903202846975546e+03,1.703392652912774530e+00
4.743911743772242517e+03,1.706120590365244549e+00
4.753920284697509487e+03,1.708838152877370176e+00
